mnk,mem,mflops,nul
8.0 , 1.5 , 906.078 , 0.0
12.0 , 3.375 , 1200.437 , 0.0
16.0 , 6.0 , 1358.94 , 0.0
20.0 , 9.375 , 1437.077 , 0.0
30.0 , 21.094 , 1523.81 , 0.0
40.0 , 37.5 , 1497.418 , 0.0
50.0 , 58.594 , 1517.88 , 0.0
60.0 , 84.375 , 1559.062 , 0.0
70.0 , 114.844 , 1573.817 , 0.0
80.0 , 150.0 , 1553.234 , 0.0
90.0 , 189.844 , 1563.731 , 0.0
100.0 , 234.375 , 1565.887 , 0.0
110.0 , 283.594 , 1563.282 , 0.0
120.0 , 337.5 , 1564.852 , 0.0
130.0 , 396.094 , 1568.779 , 0.0
140.0 , 459.375 , 1567.412 , 0.0
150.0 , 527.344 , 1555.66 , 0.0
160.0 , 600.0 , 1547.499 , 0.0
180.0 , 759.375 , 1564.688 , 0.0
200.0 , 937.5 , 1555.657 , 0.0
240.0 , 1350.0 , 1547.285 , 0.0
280.0 , 1837.5 , 1534.922 , 0.0
350.0 , 2871.094 , 1509.827 , 0.0
450.0 , 4746.094 , 1503.972 , 0.0
550.0 , 7089.844 , 1507.412 , 0.0
700.0 , 11484.375 , 1505.784 , 0.0
900.0 , 18984.375 , 1519.19 , 0.0
1100.0 , 28359.375 , 1519.149 , 0.0
1300.0 , 39609.375 , 1514.062 , 0.0
1500.0 , 52734.375 , 1505.933 , 0.0
1700.0 , 67734.375 , 1477.313 , 0.0
1900.0 , 84609.375 , 1478.126 , 134.0
2200.0 , 113437.5 , 1463.65 , 448.0
