mnk,mem,mflops,nul
8.0 , 1.5 , 187.375 , 0.0
12.0 , 3.375 , 211.814 , 0.0
16.0 , 6.0 , 223.008 , 0.0
20.0 , 9.375 , 211.424 , 0.0
30.0 , 21.094 , 223.18 , 0.0
40.0 , 37.5 , 229.099 , 0.0
50.0 , 58.594 , 232.199 , 0.0
60.0 , 84.375 , 234.743 , 0.0
70.0 , 114.844 , 236.697 , 0.0
80.0 , 150.0 , 238.337 , 0.0
90.0 , 189.844 , 239.106 , 0.0
100.0 , 234.375 , 239.956 , 0.0
110.0 , 283.594 , 236.076 , 0.0
120.0 , 337.5 , 239.131 , 0.0
130.0 , 396.094 , 236.169 , 0.0
140.0 , 459.375 , 237.108 , 0.0
150.0 , 527.344 , 237.854 , 0.0
160.0 , 600.0 , 238.506 , 0.0
180.0 , 759.375 , 239.382 , 0.0
200.0 , 937.5 , 240.124 , 0.0
240.0 , 1350.0 , 231.844 , 0.0
280.0 , 1837.5 , 239.204 , 0.0
350.0 , 2871.094 , 238.649 , 0.0
450.0 , 4746.094 , 239.038 , 0.0
550.0 , 7089.844 , 239.212 , 0.0
700.0 , 11484.375 , 239.849 , 0.0
900.0 , 18984.375 , 239.831 , 0.0
1100.0 , 28359.375 , 239.948 , 0.0
1300.0 , 39609.375 , 240.585 , 0.0
1500.0 , 52734.375 , 240.91 , 0.0
1700.0 , 67734.375 , 241.28 , 0.0
1900.0 , 84609.375 , 241.048 , 134.0
2200.0 , 113437.5 , 240.525 , 448.0
