mnk,mem,mflops,nul
8.0 , 1.5 , 189.524 , 0.0
12.0 , 3.375 , 212.473 , 0.0
16.0 , 6.0 , 223.969 , 0.0
20.0 , 9.375 , 211.839 , 0.0
30.0 , 21.094 , 223.668 , 0.0
40.0 , 37.5 , 224.168 , 0.0
50.0 , 58.594 , 226.363 , 0.0
60.0 , 84.375 , 224.77 , 0.0
70.0 , 114.844 , 228.167 , 0.0
80.0 , 150.0 , 226.892 , 0.0
90.0 , 189.844 , 229.792 , 0.0
100.0 , 234.375 , 227.794 , 0.0
110.0 , 283.594 , 227.008 , 0.0
120.0 , 337.5 , 229.078 , 0.0
130.0 , 396.094 , 226.653 , 0.0
140.0 , 459.375 , 227.662 , 0.0
150.0 , 527.344 , 228.201 , 0.0
160.0 , 600.0 , 229.342 , 0.0
180.0 , 759.375 , 228.163 , 0.0
200.0 , 937.5 , 226.766 , 0.0
240.0 , 1350.0 , 227.237 , 0.0
280.0 , 1837.5 , 227.376 , 0.0
350.0 , 2871.094 , 227.109 , 0.0
450.0 , 4746.094 , 227.703 , 0.0
550.0 , 7089.844 , 227.658 , 0.0
700.0 , 11484.375 , 227.675 , 0.0
900.0 , 18984.375 , 228.359 , 0.0
1100.0 , 28359.375 , 227.822 , 0.0
1300.0 , 39609.375 , 227.736 , 0.0
1500.0 , 52734.375 , 227.831 , 0.0
1700.0 , 67734.375 , 228.203 , 0.0
1900.0 , 84609.375 , 227.596 , 134.0
2200.0 , 113437.5 , 228.084 , 448.0
