ncore,mem,mflops,dur,SP,f,ncore_dur
1.0 , 100663000.0 , 4172.7 , 50.2589 , 1.0 , 1.0 , 0.0198969734714
2.0 , 100663000.0 , 8327.4 , 25.1838 , 1.99568373319 , 0.997837198984 , 0.0794161325932
4.0 , 100663000.0 , 14645.2 , 14.3198 , 3.50974873951 , 0.95343909238 , 0.279333510245
8.0 , 100663000.0 , 26260.7 , 7.98589 , 6.29346259465 , 0.961262809743 , 1.00176686631
12.0 , 100663000.0 , 31047.2 , 6.75473 , 7.4405490671 , 0.944292345146 , 1.77653288881
16.0 , 100663000.0 , 28759.3 , 7.29209 , 6.89224899857 , 0.911903443967 , 2.19415832772
20.0 , 100663000.0 , 27814.6 , 7.53975 , 6.66585762127 , 0.894717678178 , 2.65260784509
24.0 , 100663000.0 , 27084.5 , 7.743 , 6.49088208705 , 0.882717635907 , 3.0995738086
