ncore,mem,mflops,dur,SP,f,ncore_dur
1.0 , 25165800.0 , 8475.03 , 6.18627 , 1.0 , 1.0 , 0.161648295338
2.0 , 25165800.0 , 16596.1 , 3.15911 , 1.95823190709 , 0.97867050743 , 0.633089699314
4.0 , 25165800.0 , 29317.5 , 1.78831 , 3.45928278654 , 0.947896982619 , 2.23674866214
8.0 , 25165800.0 , 58132.6 , 0.901883 , 6.85928219071 , 0.976242457664 , 8.87033018695
12.0 , 25165800.0 , 78511.4 , 0.667786 , 9.26385099418 , 0.973149307036 , 17.9698286577
16.0 , 25165800.0 , 94792.4 , 0.553091 , 11.1849044732 , 0.971300034862 , 28.9283318658
20.0 , 25165800.0 , 113542.0 , 0.461758 , 13.3972123926 , 0.974060638359 , 43.312730911
24.0 , 25165800.0 , 129351.0 , 0.405321 , 15.2626436824 , 0.975110140472 , 59.2123280067
