ncore,mem,mflops,dur,SP,f,ncore_dur
1.0 , 100663000.0 , 4207.57 , 49.8424 , 1.0 , 1.0 , 0.0200632393304
2.0 , 100663000.0 , 8490.54 , 24.6999 , 2.01791910089 , 1.00887998973 , 0.0809719877408
4.0 , 100663000.0 , 15571.8 , 13.4676 , 3.70091181799 , 0.973061757326 , 0.29700911818
8.0 , 100663000.0 , 25609.9 , 8.18883 , 6.08663264471 , 0.955092050142 , 0.976940539735
12.0 , 100663000.0 , 31562.7 , 6.64441 , 7.50140343537 , 0.945481758503 , 1.80602942925
16.0 , 100663000.0 , 34380.9 , 6.09976 , 8.171206736 , 0.93612699228 , 2.6230540218
20.0 , 100663000.0 , 30216.2 , 6.9405 , 7.18138462647 , 0.90605377624 , 2.88163676969
24.0 , 100663000.0 , 32696.2 , 6.41406 , 7.77080351603 , 0.909196360842 , 3.74177977755
