ncore,mem,mflops,dur,SP,f,ncore_dur
1.0 , 25165800.0 , 8424.88 , 6.22309 , 1.0 , 1.0 , 0.160691874937
2.0 , 25165800.0 , 16674.5 , 3.14425 , 1.97919694681 , 0.98948914446 , 0.636081736503
4.0 , 25165800.0 , 30797.9 , 1.70235 , 3.65558786384 , 0.968594915602 , 2.34969307134
8.0 , 25165800.0 , 57146.4 , 0.917447 , 6.78305122803 , 0.974369967331 , 8.71984975699
12.0 , 25165800.0 , 78025.7 , 0.671943 , 9.261336155 , 0.973117330341 , 17.858657654
16.0 , 25165800.0 , 99622.6 , 0.526274 , 11.8248098899 , 0.976460847157 , 30.4024139517
20.0 , 25165800.0 , 108289.0 , 0.484158 , 12.8534280132 , 0.970736571805 , 41.308828936
24.0 , 25165800.0 , 122315.0 , 0.428636 , 14.518355901 , 0.97160522869 , 55.9915639377
