ncore,mem,mflops,dur,SP,f,ncore_dur
1.0 , 100663000.0 , 4205.96 , 49.8614 , 1.0 , 1.0 , 0.0200555941069
2.0 , 100663000.0 , 8347.96 , 25.1217 , 1.9847940227 , 0.992338763051 , 0.0796124466099
4.0 , 100663000.0 , 15398.9 , 13.6189 , 3.66119143249 , 0.969153159224 , 0.293709477271
8.0 , 100663000.0 , 24656.6 , 8.50544 , 5.8622951899 , 0.94790668304 , 0.940574502906
12.0 , 100663000.0 , 31865.6 , 6.58123 , 7.57630412552 , 0.946919478978 , 1.82336736446
16.0 , 100663000.0 , 32085.1 , 6.53622 , 7.62847639767 , 0.926839706333 , 2.44789802057
20.0 , 100663000.0 , 31872.7 , 6.57978 , 7.57797373164 , 0.913724845271 , 3.03961530629
24.0 , 100663000.0 , 30781.3 , 6.81308 , 7.3184815091 , 0.900897008246 , 3.522635871
