ncore,mem,mflops,dur,SP,f,ncore_dur
1.0 , 25165800.0 , 8517.48 , 6.15544 , 1.0 , 1.0 , 0.162457923398
2.0 , 25165800.0 , 16557.3 , 3.1665 , 1.94392546976 , 0.971153971121 , 0.631612190115
4.0 , 25165800.0 , 29479.2 , 1.7785 , 3.46102895699 , 0.948091444316 , 2.24908630869
8.0 , 25165800.0 , 57571.7 , 0.91067 , 6.75924319457 , 0.973776506171 , 8.78474090505
12.0 , 25165800.0 , 79328.8 , 0.660905 , 9.3136532482 , 0.973778995786 , 18.1569211914
16.0 , 25165800.0 , 95364.9 , 0.549771 , 11.1963708526 , 0.971397701329 , 29.1030265329
20.0 , 25165800.0 , 106290.0 , 0.493263 , 12.4790223471 , 0.968279491927 , 40.5463211309
24.0 , 25165800.0 , 125533.0 , 0.41765 , 14.7382736741 , 0.972677685175 , 57.4643840536
