ncore,mem,mflops,dur,SP,f,ncore_dur
1.0 , 6291460.0 , 9089.17 , 1.44207 , 1.0 , 1.0 , 0.6934476135
2.0 , 6291460.0 , 15355.7 , 0.853575 , 1.68944732449 , 0.816180906613 , 2.3430864306
4.0 , 6291460.0 , 26604.9 , 0.492661 , 2.927104033 , 0.877820540381 , 8.11917322459
8.0 , 6291460.0 , 46578.1 , 0.281402 , 5.12459044356 , 0.919842805332 , 28.429080106
12.0 , 6291460.0 , 60296.8 , 0.217378 , 6.63392799639 , 0.926465176006 , 55.2033784468
16.0 , 6291460.0 , 68192.4 , 0.192209 , 7.50261434168 , 0.924494002834 , 83.242720164
20.0 , 6291460.0 , 75584.2 , 0.173412 , 8.31586049408 , 0.926050381524 , 115.332272276
24.0 , 6291460.0 , 63850.4 , 0.20528 , 7.02489282931 , 0.89493816407 , 116.913484022
