ncore,mem,mflops,dur,SP,f,ncore_dur
1.0 , 25165800.0 , 8488.14 , 6.17671 , 1.0 , 1.0 , 0.161898486411
2.0 , 25165800.0 , 16645.7 , 3.14969 , 1.96105331001 , 0.980139912672 , 0.634983125323
4.0 , 25165800.0 , 31641.3 , 1.65698 , 3.72769134208 , 0.975649927982 , 2.41403034436
8.0 , 25165800.0 , 57827.0 , 0.90665 , 6.81267302708 , 0.975102556909 , 8.82369161198
12.0 , 25165800.0 , 78813.4 , 0.665227 , 9.28511620845 , 0.973419006088 , 18.0389551236
16.0 , 25165800.0 , 101836.0 , 0.514835 , 11.9974554954 , 0.977758925598 , 31.077918168
20.0 , 25165800.0 , 114633.0 , 0.457361 , 13.505108656 , 0.974688364586 , 43.7291330043
24.0 , 25165800.0 , 130353.0 , 0.402205 , 15.3571188822 , 0.975530733154 , 59.6710632638
