ncore,mem,mflops,dur,SP,f,ncore_dur
1.0 , 1572860.0 , 9741.81 , 0.336365 , 1.0 , 1.0 , 2.97296092043
2.0 , 1572860.0 , 14210.3 , 0.230593 , 1.45869562389 , 0.628912044951 , 8.67329016926
4.0 , 1572860.0 , 21854.8 , 0.149935 , 2.24340547571 , 0.738998805861 , 26.6782272318
8.0 , 1572860.0 , 30837.9 , 0.106259 , 3.16552009712 , 0.78182416635 , 75.2877403326
12.0 , 1572860.0 , 36249.0 , 0.0903969 , 3.72097936987 , 0.797731144333 , 132.747915028
16.0 , 1572860.0 , 36531.8 , 0.0896971 , 3.75000975505 , 0.782222962159 , 178.378119248
20.0 , 1572860.0 , 37984.9 , 0.0862658 , 3.89916977528 , 0.782668576664 , 231.84158728
24.0 , 1572860.0 , 33088.5 , 0.0990314 , 3.39654897336 , 0.736261062161 , 242.347376691
