ncore,mem,mflops,dur,SP,f,ncore_dur
1.0 , 1572860.0 , 9786.95 , 0.334813 , 1.0 , 1.0 , 2.98674185291
2.0 , 1572860.0 , 14969.7 , 0.218895 , 1.52955983462 , 0.692434284212 , 9.13680074922
4.0 , 1572860.0 , 23378.3 , 0.140164 , 2.38872320995 , 0.775155086571 , 28.5379983448
8.0 , 1572860.0 , 33110.1 , 0.0989668 , 3.38308402414 , 0.80504196159 , 80.8351891746
12.0 , 1572860.0 , 44488.8 , 0.0736544 , 4.54572978668 , 0.850923622766 , 162.923056871
16.0 , 1572860.0 , 45173.8 , 0.0725377 , 4.61571017554 , 0.835571856529 , 220.574956195
20.0 , 1572860.0 , 49152.9 , 0.0666654 , 5.02229042352 , 0.843039641767 , 300.005700108
24.0 , 1572860.0 , 45842.0 , 0.0714803 , 4.68398985455 , 0.820702743998 , 335.756844893
