ncore,mem,mflops,dur,SP,f,ncore_dur
1.0 , 25165800.0 , 8521.4 , 6.1526 , 1.0 , 1.0 , 0.162532912915
2.0 , 25165800.0 , 16548.6 , 3.16817 , 1.94200437477 , 0.970136202581 , 0.631279255848
4.0 , 25165800.0 , 30885.4 , 1.69753 , 3.62444257244 , 0.965460672453 , 2.35636483597
8.0 , 25165800.0 , 58314.1 , 0.899076 , 6.84324795679 , 0.975852067186 , 8.89802419373
12.0 , 25165800.0 , 77440.5 , 0.677021 , 9.08775355565 , 0.970867423381 , 17.724708687
16.0 , 25165800.0 , 95341.3 , 0.549907 , 11.1884373176 , 0.971330147688 , 29.0958289311
20.0 , 25165800.0 , 112098.0 , 0.467704 , 13.1549013906 , 0.972613375261 , 42.7620888425
24.0 , 25165800.0 , 113238.0 , 0.462995 , 13.2886964222 , 0.964954511984 , 51.8364129202
