ncore,mem,mflops,dur,SP,f,ncore_dur
1.0 , 25165800.0 , 8442.4 , 6.21018 , 1.0 , 1.0 , 0.161025928395
2.0 , 25165800.0 , 16608.8 , 3.15669 , 1.96730752782 , 0.98338212419 , 0.633575042212
4.0 , 25165800.0 , 31758.2 , 1.65087 , 3.76176198005 , 0.978889500787 , 2.42296486095
8.0 , 25165800.0 , 58230.9 , 0.900361 , 6.89743336284 , 0.977164038954 , 8.88532488635
12.0 , 25165800.0 , 80892.2 , 0.648132 , 9.58165929163 , 0.977055210521 , 18.514746996
16.0 , 25165800.0 , 101777.0 , 0.515134 , 12.0554651799 , 0.978186740696 , 31.0598795653
20.0 , 25165800.0 , 107636.0 , 0.487095 , 12.7494225972 , 0.97006850043 , 41.0597522044
24.0 , 25165800.0 , 133935.0 , 0.391451 , 15.8645143326 , 0.977703901882 , 61.3103555745
