ncore,mem,mflops,dur,SP,f,ncore_dur
1.0 , 1572860.0 , 9605.06 , 0.341154 , 1.0 , 1.0 , 2.93122753947
2.0 , 1572860.0 , 15097.2 , 0.217046 , 1.57180505515 , 0.727577574937 , 9.21463652866
4.0 , 1572860.0 , 23025.8 , 0.14231 , 2.3972595039 , 0.777142678478 , 28.1076523083
8.0 , 1572860.0 , 36364.3 , 0.0901103 , 3.78596009557 , 0.840989950915 , 88.7800839638
12.0 , 1572860.0 , 36947.2 , 0.0886886 , 3.84664996403 , 0.807309308992 , 135.304875711
16.0 , 1572860.0 , 29616.1 , 0.110643 , 3.0833762642 , 0.720725537441 , 144.609238723
20.0 , 1572860.0 , 42995.5 , 0.0762126 , 4.47634643091 , 0.817477397922 , 262.423798689
24.0 , 1572860.0 , 22215.7 , 0.147499 , 2.31292415542 , 0.592327167815 , 162.712967546
