ncore,mem,mflops,dur,SP,f,ncore_dur
1.0 , 0.0 , 0.0 , 2.65236 , 1.0 , 1.0 , 0.37702272693
2.0 , 0.0 , 0.0 , 2.01302 , 1.31760240832 , 0.482091420471 , 0.99353210599
4.0 , 0.0 , 0.0 , 2.01087 , 1.31901117427 , 0.322475078798 , 1.98918875909
8.0 , 0.0 , 0.0 , 1.04982 , 2.52649025547 , 0.690507429502 , 7.62035396544
12.0 , 0.0 , 0.0 , 0.758797 , 3.49548034586 , 0.778817766408 , 15.8145063831
16.0 , 0.0 , 0.0 , 0.592959 , 4.47309173147 , 0.82820371292 , 26.9833158785
20.0 , 0.0 , 0.0 , 0.46814 , 5.66574101764 , 0.866842716437 , 42.722262571
24.0 , 0.0 , 0.0 , 0.429484 , 6.17568989764 , 0.874512804675 , 55.8810107012
