ncore,mem,mflops,dur,SP,f,ncore_dur
1.0 , 25165800.0 , 8535.93 , 6.14213 , 1.0 , 1.0 , 0.162809969831
2.0 , 25165800.0 , 16600.1 , 3.15834 , 1.94473362589 , 0.971581519766 , 0.633244045923
4.0 , 25165800.0 , 30954.9 , 1.69372 , 3.62641404719 , 0.965660663863 , 2.36166544647
8.0 , 25165800.0 , 57964.6 , 0.904497 , 6.79065823325 , 0.974558709391 , 8.84469489672
12.0 , 25165800.0 , 75822.8 , 0.691464 , 8.88279071651 , 0.968097564022 , 17.3544826629
16.0 , 25165800.0 , 103572.0 , 0.506206 , 12.1336570487 , 0.978756924172 , 31.6076854087
20.0 , 25165800.0 , 107710.0 , 0.486761 , 12.6183691791 , 0.969211006605 , 41.0879261075
24.0 , 25165800.0 , 110895.0 , 0.472779 , 12.9915457328 , 0.963158468111 , 50.7636760516
